,type,in_size,out_size,ops,params
image_encoder.transformer.resblocks.5.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.5.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.5.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.5.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.5.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.5.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.6.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.6.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.6.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.6.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.6.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.6.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.7.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.7.ln_1,LayerNorm,,,,
